Id,Age,Income,Home,Emp_length,Intent,Amount,Rate,Status,Percent_income,Default,Cred_length
32377,64,46000,RENT,2.0,PERSONAL,4800,11.09,0,0.1,Y,24
1338,26,26000,OWN,0.0,DEBTCONSOLIDATION,8500,16.45,1,0.33,N,3
7047,23,51000,MORTGAGE,3.0,PERSONAL,16000,13.11,0,0.31,Y,3
8225,22,56004,MORTGAGE,6.0,MEDICAL,6000,7.88,0,0.11,N,4
7178,24,79000,RENT,3.0,PERSONAL,7000,12.54,0,0.09,N,3
24652,27,75000,MORTGAGE,11.0,HOMEIMPROVEMENT,10000,,0,0.13,N,7
5514,26,45000,MORTGAGE,0.0,HOMEIMPROVEMENT,4000,13.92,0,0.09,N,2
23796,34,65200,MORTGAGE,13.0,VENTURE,8000,6.92,0,0.12,N,7
16664,22,36000,RENT,1.0,EDUCATION,5000,12.68,1,0.14,N,4
32260,39,80000,MORTGAGE,18.0,MEDICAL,5600,13.43,0,0.07,N,17
31097,39,76000,MORTGAGE,8.0,HOMEIMPROVEMENT,5000,6.03,0,0.07,N,14
5455,21,45000,MORTGAGE,4.0,EDUCATION,5000,7.14,0,0.11,N,4
11990,23,78000,MORTGAGE,7.0,EDUCATION,6150,7.88,0,0.08,N,2
23209,34,20000,RENT,5.0,MEDICAL,5000,8.9,0,0.25,N,5
19658,27,38000,RENT,11.0,EDUCATION,3200,12.42,0,0.08,N,5
27160,32,54996,RENT,4.0,VENTURE,15000,6.54,0,0.27,N,5
29646,40,57000,RENT,1.0,EDUCATION,3000,10.0,0,0.05,N,14
23586,29,58800,MORTGAGE,7.0,DEBTCONSOLIDATION,5000,11.71,1,0.09,N,6
327,26,129996,RENT,6.0,PERSONAL,25000,10.75,0,0.19,N,3
231,26,80000,RENT,5.0,DEBTCONSOLIDATION,25000,13.61,1,0.31,N,4
13783,24,96000,MORTGAGE,2.0,VENTURE,4200,,0,0.04,N,4
5860,23,37000,RENT,5.0,DEBTCONSOLIDATION,5500,15.31,1,0.15,Y,2
3272,21,15000,RENT,0.0,PERSONAL,3600,15.95,1,0.24,N,2
17914,30,270000,MORTGAGE,14.0,DEBTCONSOLIDATION,21000,11.26,0,0.08,N,6
30590,39,33100,RENT,3.0,DEBTCONSOLIDATION,8000,14.26,1,0.24,Y,12
7757,26,35000,RENT,5.0,VENTURE,7000,10.99,0,0.2,N,4
17746,26,122500,RENT,1.0,HOMEIMPROVEMENT,10000,10.65,0,0.08,N,2
28135,28,225000,MORTGAGE,11.0,EDUCATION,9000,16.95,1,0.04,Y,8
15436,21,69000,RENT,3.0,MEDICAL,15000,8.49,0,0.22,N,2
21734,34,51000,RENT,1.0,MEDICAL,6000,5.99,0,0.12,N,6
27521,28,80000,RENT,0.0,MEDICAL,15000,13.49,0,0.19,N,5
